user_id,session_id,window_start,window_end,mean_dwell,std_dwell,mean_flight,std_flight,typing_speed,backspace_rate,pause_count,mean_pressure,gyro_std,raw_score,mapped_class,predicted_class
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760182302,1775760199850,24.0,33.98529,1432.2,2312.3958,20.515158,0.6666667,1,0.5,0.07436902,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760199850,1775760214979,49.51613,40.50796,438.5484,1059.7777,122.942696,0.3548387,1,0.5,0.03672043,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760222498,1775760237551,59.625,34.96583,157.44444,145.32512,255.09865,0.21875,0,0.5,0.042957585,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760238411,1775760253467,46.1875,37.16722,181.12698,118.10051,255.04782,0.34375,0,0.5,0.047843393,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760390499,1775760405726,57.70213,43.471153,266.27658,201.23224,185.19734,0.34042552,0,0.5,1.0027499,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760405726,1775760421318,71.297874,35.64835,260.4468,236.084,180.86198,0.17021276,0,0.5,0.04325701,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760440362,1775760455821,61.10811,37.13291,343.3611,281.18265,143.60567,0.24324325,0,0.5,0.27261418,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775760509386,1775760524503,61.577778,39.755077,246.88637,191.7405,178.60687,0.22222222,0,0.5,0.17145573,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775793530528,1775793545759,78.02941,31.179258,333.27274,220.33517,133.93736,0.0882353,0,0.5,0.4460565,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775805785431,1775805800507,63.72,38.820118,126.625,101.83025,99.49589,0.24,0,0.5,0.40236336,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775807758563,1775807773782,59.91892,35.47849,251.61111,247.4178,145.8703,0.21621622,0,0.5,0.36355302,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775807782811,1775807798419,58.416668,38.082058,188.08475,171.96997,230.65096,0.26666668,0,0.5,0.052337117,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775807800286,1775807816096,61.9,32.31754,202.0339,211.00566,227.70398,0.16666667,0,0.5,0.05600977,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812381460,1775812396475,48.934425,38.60768,197.21312,134.47787,243.75624,0.32786885,0,0.5,0.30052993,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812396475,1775812411845,55.095238,40.527363,310.85715,245.21396,163.95576,0.30952382,0,0.5,0.063451886,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812411845,1775812426868,64.085106,35.980984,255.55319,260.35693,187.71217,0.19148937,0,0.5,0.049146134,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812430710,1775812445726,61.9,40.152084,255.3077,213.06953,159.82951,0.275,0,0.5,0.05488674,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812666247,1775812682368,86.0,26.77356,478.8125,1021.2566,63.27151,0.05882353,1,0.5,0.11047673,,,MILD_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812682368,1775812697380,47.84375,49.32932,421.3125,1544.5444,127.89768,0.5,1,0.5,0.0586605,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812722289,1775812737531,64.861115,41.36568,326.6857,407.64438,141.71368,0.25,0,0.5,0.107397854,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812737531,1775812754808,77.5,28.599243,402.41666,802.24603,125.021706,0.083333336,2,0.5,0.035853337,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812758261,1775812773359,56.839287,40.94673,185.6,118.8557,222.54604,0.30357143,0,0.5,0.036033463,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812854143,1775812869429,92.6,9.707729,196.75,130.98163,19.625801,0.0,0,0.5,0.74097395,,,MILD_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812869429,1775812884525,55.958332,46.49371,258.54166,229.47012,190.779,0.39583334,0,0.5,0.023846548,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812885314,1775812900359,64.53125,39.240433,239.41936,173.33109,127.61715,0.25,0,0.5,0.036500283,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812900359,1775812915387,55.68,44.2897,244.88,175.77948,199.62737,0.36,0,0.5,0.028292647,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775812972996,1775812988035,63.38095,40.274033,274.02438,282.835,167.56433,0.23809524,0,0.5,0.40297,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813018272,1775813033758,46.75,51.134712,425.37036,1061.4789,108.485085,0.5,1,0.5,0.19208142,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813036339,1775813051725,64.458336,42.322155,244.56522,224.27213,93.591576,0.20833333,0,0.5,0.28176123,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813149012,1775813181276,20.0,40.0,7641.25,12842.716,9.298289,0.8,1,0.5,0.22813328,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813218225,1775813233311,54.340908,42.648106,210.0,166.36314,174.99669,0.3181818,0,0.5,0.045440096,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813240169,1775813259269,62.615383,36.204628,459.16,1090.5481,81.67539,0.23076923,1,0.5,0.1894127,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813313712,1775813328734,63.128204,38.74782,192.8158,156.72853,155.77153,0.25641027,0,0.5,0.22486156,,,HIGH_STRESS
Arun,4264336d-03c5-4b86-ab93-6ab83b003bcc,1775813356290,1775813371420,53.0,43.39585,3255.25,4800.5586,19.828156,0.4,1,0.5,0.2990142,,,HIGH_STRESS
