user_id,session_id,window_start,window_end,mean_dwell,std_dwell,mean_flight,std_flight,typing_speed,backspace_rate,pause_count,mean_pressure,gyro_std,raw_score,mapped_class,predicted_class
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804645990,1775804661079,50.333332,22.91565,233.0,187.29121,167.00908,0.0952381,0,0.5,0.3900987,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804677997,1775804693527,67.05556,18.056923,636.7647,959.9124,69.54282,0.0,2,0.5,0.20098285,,,CALM
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804759459,1775804774592,41.575756,25.11432,310.125,328.43137,130.83989,0.24242425,0,0.5,0.35046303,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804774592,1775804789643,50.7451,21.912342,244.37254,186.42783,203.30875,0.11764706,0,0.5,0.296476,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804789643,1775804809059,44.205128,22.309225,453.64102,740.1629,120.51916,0.12820514,1,0.5,0.15753998,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804809059,1775804826759,45.0625,24.95989,508.0625,696.6401,108.47458,0.1875,1,0.5,0.056511827,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804826759,1775804861592,49.233334,10.01227,1111.8667,3981.8455,51.675137,0.0,1,0.5,0.05152842,,,CALM
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804861592,1775804876624,45.25,22.029036,296.38635,216.61447,175.62534,0.13636364,0,0.5,0.07569535,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804876624,1775804891756,45.733334,19.551527,458.7,554.7033,118.95321,0.1,1,0.5,0.067719325,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804894624,1775804910040,43.382355,22.37122,387.60605,244.91371,132.33005,0.1764706,0,0.5,0.062036406,,,HIGH_STRESS
U02,e50764b6-16ae-4e3a-a8cb-044ed891b461,1775804910040,1775804925506,40.117645,22.021067,869.7059,1944.6387,65.95112,0.1764706,1,0.5,1.3538872,,,HIGH_STRESS
